Server Name	database_name	backup_start_date	backup_finish_date	server_name	user_name	type	physical_device_name
OAZISDB	OAZMOLP	2025-02-28 04:30:01.000	2025-02-28 04:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228033001.trn
OAZISDB	OAZP	2025-02-28 04:30:01.000	2025-02-28 04:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228033001.trn
OAZISDB	OAZMOLP	2025-02-28 04:45:01.000	2025-02-28 04:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228034501.trn
OAZISDB	OAZP	2025-02-28 04:45:01.000	2025-02-28 04:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228034501.trn
OAZISDB	OAZMOLP	2025-02-28 05:00:01.000	2025-02-28 05:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228040000.trn
OAZISDB	OAZP	2025-02-28 05:00:01.000	2025-02-28 05:00:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228040000.trn
OAZISDB	OAZMOLP	2025-02-28 05:15:01.000	2025-02-28 05:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228041501.trn
OAZISDB	OAZP	2025-02-28 05:15:01.000	2025-02-28 05:15:49.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228041501.trn
OAZISDB	OAZMOLP	2025-02-28 05:30:01.000	2025-02-28 05:30:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228043001.trn
OAZISDB	OAZP	2025-02-28 05:30:01.000	2025-02-28 05:30:42.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228043001.trn
OAZISDB	OAZMOLP	2025-02-28 05:45:01.000	2025-02-28 05:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228044501.trn
OAZISDB	OAZP	2025-02-28 05:45:01.000	2025-02-28 05:45:38.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228044501.trn
OAZISDB	OAZMOLP	2025-02-28 06:00:02.000	2025-02-28 06:00:02.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228050001.trn
OAZISDB	OAZP	2025-02-28 06:00:02.000	2025-02-28 06:00:30.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228050001.trn
OAZISDB	OAZMOLP	2025-02-28 06:15:01.000	2025-02-28 06:15:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228051501.trn
OAZISDB	OAZP	2025-02-28 06:15:01.000	2025-02-28 06:15:32.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228051501.trn
OAZISDB	OAZMOLP	2025-02-28 06:30:00.000	2025-02-28 06:30:00.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228053000.trn
OAZISDB	OAZP	2025-02-28 06:30:01.000	2025-02-28 06:30:35.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZP_20250228053000.trn
OAZISDB	OAZMOLP	2025-02-28 06:45:01.000	2025-02-28 06:45:01.000	OAZISDB	NT AUTHORITY\SYSTEM	L	L:\LogShip\OAZMOLP_20250228054501.trn
